Name,Grade,Subject,Desc_1,Desc_2,Source_url,Link
How to Tie Your Shoes Using the Bunny Ears Technique,"1, 2",Early Education,Learn how to tie your shoes using the standard knot technique!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Tie-Your-Shoes,https://www.youtube.com/watch?v=gl9UWc3gSg0
How to To Tie Your Shoes Using The Circle Technique,"1, 2",Early Education,Learn how to tie your shoes using the simple circle technique!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Tie-Your-Shoes,https://www.youtube.com/watch?v=HBcTRK_GQU8
How to Draw a Lotus Flower,"1, 2, 3, 4, 5",Art,This video will teach you how to quickly draw a lotus flower!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Draw-a-Lotus-Flower,https://www.youtube.com/watch?v=76evWI5C1X8
How to Draw a Plane,"1, 2, 3, 4, 5",Art,This quick video will give you some tips on how to draw a plane!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Draw-a-Plane,https://www.youtube.com/watch?v=iIkx9MARLCg
How to Fold a Fortune Teller,"1, 2, 3",Early Education,wikiHow shows you #howto fold a fortune teller! Impress your friends with hilarious (or scarily accurate?) fortunes!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Fold-a-Fortune-Teller,https://www.youtube.com/watch?v=CODnVX7VAZ8&feature=youtu.be
How to Fold a Paper Crane,"1, 2, 3, 4, 5",Early Education,"n many cultures, a crane often symbolizes good fortune and long life. Taking the time to fold a delicate paper crane is a thoughtful and generous way to create a meaningful gift for someone special to you. This quick video will show you #howto fold a beautiful origami crane.","To read an article on this topic, use the following link:",https://www.wikihow.com/Fold-a-Paper-Crane,https://www.youtube.com/watch?v=rPGGvr2Qmb0
How to Make a Paper Airplane,"1, 2, 3, 4, 5",Art,This quick video will give you some tips on how to make a paper airplane!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Make-a-Paper-Airplane,https://www.youtube.com/watch?v=IEccovX3qMs
How to Make a Paper Boat,"1, 2, 3, 4, 5",Art,Anchors aweigh! This quick video will give you some tips on #howto make a paper boat. Try it -- can you get it to float?,"To read an article on this topic, use the following link:",https://www.wikihow.com/Make-a-Paper-Boat,https://www.youtube.com/watch?v=469JJk1Wf1c&feature=youtu.be
How to Make a Paper Popper,"1, 2, 3, 4, 5",Art,This quick video will give you some tips on how to make a paper popper!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Make-a-Paper-Popper,https://www.youtube.com/watch?v=I4WHOEsq1Ko&feature=youtu.be
How to Make a Paper Rocket,"1, 2, 3, 4, 5",Art,This quick video will give you some tips on how to make a paper rocket!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Make-a-Paper-Rocket,https://www.youtube.com/watch?v=Z1zrKv_Noj8
How to Make a Solar System Mobile,"1, 2, 3, 4, 5",Science,This video will teach you how to make a solar system mobile!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Make-a-Solar-System-Mobile,https://www.youtube.com/watch?v=36Na4F_K8cU
How to Make DIY Crayons (From Scratch!),"1, 2, 3, 4, 5",Art,"Learn to DIY your own crayons at home. This makes a wonderful activity for kids, and can be customized with colors, shapes, and even fragrances!","To read an article on this topic, use the following link:",https://www.wikihow.com/Make-Crayons,https://www.youtube.com/watch?v=hXo6UY60IOQ&feature=youtu.be
How to Meditate,All,Classroom Behavior,"The goal of meditation is to focus and understand your mind — eventually reaching a higher level of awareness and inner calm. Meditation is an ancient practice, but scientists are still uncovering its many benefits. Regular meditation can help you to control your emotions, enhance your ","To read an article on this topic, use the following link:",https://www.wikihow.com/Meditate-for-Beginners,https://youtu.be/xpD8jIwe61w
How to Meditate for Beginners,All,Classroom Behavior,This quick video will give you some tips on how to meditate for beginners!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Meditate-for-Beginners,https://www.youtube.com/watch?v=PGCQuWUNo_I
How to Quickly Calm Yourself During an Anxiety Attack,All,Classroom Behavior,This video will teach you how to quickly calm yourself during an anxiety attack.,"To read an article on this topic, use the following link:",https://www.wikihow.com/Calm-Yourself-During-an-Anxiety-Attack,https://www.youtube.com/watch?v=zPcdFI5RKGg
How to Draw a Pig,"1, 2, 3, 4, 5",Art,This quick video will show you #howto draw one of the most intelligent animals to ever be domesticated: the pig!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Draw-a-Pig,https://www.youtube.com/watch?v=jVFV_1pOqDY&feature=youtu.be
How to Calculate Simple Interest,"9, 10, 11,12",Math,AN EASY GUIDE TO UNDERSTANDING INTEREST! Learn #howto calculate simple interest on your own so that you can go into your next loan -- whether you're the borrower or the lender -- totally prepared.,"To read an article on this topic, use the following link:",https://www.wikihow.com/Calculate-Simple-Interest ,https://youtu.be/P4XOQgE6zq8
How to Memorize the Unit Circle,9,Math,This video will teach you how to quickly memorize the unit circle!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Memorize-the-Unit-Circle,https://www.youtube.com/watch?v=ZhysgaL465c
How to Assemble a Clarinet for Beginners,All,Music,"This video will teach you how to assemble a clarinet, for beginners!","To read an article on this topic, use the following link:",https://www.wikihow.com/Assemble-a-Clarinet,https://www.youtube.com/watch?v=2LGHIqdpM0w
How to Concentrate,"9, 10, 11,12",Classroom Behavior,This quick video will give you some tips on how to concentrate!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Concentrate,https://www.youtube.com/watch?v=XahzC3Uc3fM
How to Draw a Dog,"1, 2, 3, 4, 5",Art,"Did you know that there are over 300 breeds of dogs? Learning to draw a dog is a great way to practice drawing different animal anatomies, from Chihuahuas to Golden Retrievers. This quick video will guide you in sketching a realistic dog. Remember: practice makes perfect!","To read an article on this topic, use the following link:",https://www.wikihow.com/Draw-a-Dog,https://youtu.be/B2DJIAcs_uQ
How to Multiply,"3, 4",Math,This quick video will give you some tips on how to multiply!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Multiply,https://youtu.be/aSt7vivbroI
How to Multiply Fractions,"5, 6, 7",Math,This quick video will give you some tips on how to multiply fractions!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Multiply-Fractions,https://youtu.be/UPkbRaufaVo
How to Study,"6, 7, 8, 9, 10, 11, 12",Pedagogy,Heading back to school? It's time to refresh your study skills and start practicing better study habits. Check out this quick video to give you easy tips and tricks for better study sessions this year!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Study,https://youtu.be/LIJ1x1BllzQ
How to Study For Exams,"6, 7, 8, 9, 10, 11, 12",Pedagogy,This quick video will give you some tips on how to study for exams!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Study-For-Exams,https://www.youtube.com/watch?v=sHYoOKmT_dY
How to Tell the Difference Between a Crocodile and an Alligator,All,Science,This video will teach you how to tell the difference between a crocodile and an alligator!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Tell-the-Difference-Between-a-Crocodile-and-an-Alligator,https://www.youtube.com/watch?v=K_HgOHGo0Ow
How to Write,"6, 7, 8, 9, 10, 11, 12",English,This quick video will give you some tips on how to write effectively!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Write,https://youtu.be/SXvycUS6MA4
How to Write a Book,"9, 10, 11,12",English,"This quick video will give you some tips on how to write a book!","To read an article on this topic, use the following link:",https://www.wikihow.com/Write-a-Book,https://youtu.be/njZAQ9vapek
How to Make Friends,"6, 7, 8, 9, 10, 11, 12",Classroom Behavior,"Meeting new people and making friends can be overwhelming, but with a little effort and willingness to step outside of your comfort zone, you can easily make friends. Start by getting yourself out there and looking for places to socialize, like a local club or volunteer organization.","To read an article on this topic, use the following link:",https://www.wikihow.com/Make-Friends,https://youtu.be/dFs9ddCMtKg
wikiHow Asks: How do you control and relieve anxiety?,"8, 9, 10, 11, 12",High School,"Dr. John Lundin, a clinical psychologist in the Bay Area, shares his insight with wikiHow on #howto cope with and relieve #anxiety.","To read an article on this topic, use the following link:",https://www.wikihow.com/Control-Anxiety,https://www.youtube.com/watch?v=1tvTJ3sE27M
wikiHow Asks: What are common triggers for anxiety and stress in everyday life?,All,High School,"Dr. John Lundin, a clinical psychologist in the Bay Area, shares his insight with wikiHow on #howto identify common triggers for #anxiety and #stress in our daily lives.","To read an article on this topic, use the following link:",https://www.wikihow.com/Deal-With-Anxiety-and-Stress,https://www.youtube.com/watch?v=H1x4Lt2UwvA
wikiHow Asks: What does it mean to you to discover your passion?,"8, 9, 10, 11, 12",High School,Career and life coach Adrian Klaphaak shares his insight with wikiHow on #howto discover your passion.,"To read an article on this topic, use the following link:",https://www.wikihow.com/Find-Your-Passion,https://youtu.be/6SK10R-Rago
How to Win a Student Council Election,"9, 10, 11,12",High School,This video will teach you how to win a student council election!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Win-a-Student-Council-Election,https://www.youtube.com/watch?v=-7LkDO6JUDA
How to Develop a Good Daily Routine,"6, 7, 8",High School,This video will teach you how to quickly develop a good daily routine!,"To read an article on this topic, use the following link:",https://www.wikihow.com/Develop-a-Good-Daily-Routine-%28Girls%29,https://www.youtube.com/watch?v=1buBQvi9VMc
Paper Airplane Kaise Banaye | कागज का हवाई जहाज बनायें | Make a Paper Airplane,"1, 2, 3, 4, 5",Art,कागज़ का हवाई जहाज बनाकर उसे उड़ाना बच्चों को बहुत अच्छा लगता है। आप भी अपने बच्चे के लिए बनाइये। तो देखिये ये वीडियो।।,"To read an article on this topic, use the following link:",https://hi.wikihow.com/कागज़-से-हवाई-ज़हाज़-बनायें,https://youtu.be/a2e949SxCls
